# LSST Y10 lens curves; original Fisher._makeLensPZ convention
# Reference: https://arxiv.org/abs/2507.01374 Figure 3
# Source: fisherA2Z/data/nzdist.txt, dneff column
# Original 40-point parent integration; dense Gaussian evaluation and normalization
# Raw n_i(z), NOT unit-integral PDFs and NOT galaxies/arcmin^2/z
# Z_MID	BIN1	BIN2	BIN3	BIN4	BIN5	BIN6	BIN7	BIN8	BIN9	BIN10
4.500000000000e-02	1.007806355609e-06	2.780805173960e-12	9.925875022969e-19	1.605665800845e-25	2.284651041316e-32	3.920847398898e-39	8.662510055391e-46	4.693031407275e-52	3.656920397832e-58	5.996019455438e-64
4.600000000000e-02	1.165556046037e-06	3.348066279730e-12	1.229154547262e-18	2.027615092371e-25	2.923913079792e-32	5.062744414416e-39	1.124793576578e-45	6.112760869441e-52	4.769321385978e-58	7.819219002796e-64
4.700000000000e-02	1.347039709564e-06	4.028587098740e-12	1.521299314031e-18	2.559263600730e-25	3.740518405020e-32	6.534833090520e-39	1.460027076913e-45	7.959658757356e-52	6.218460018382e-58	1.019434505796e-63
4.800000000000e-02	1.555674754128e-06	4.844474731300e-12	1.881886100100e-18	3.228818787951e-25	4.783236880530e-32	8.431899639087e-39	1.894558410181e-45	1.036154670129e-51	8.105770056082e-58	1.328773292252e-63
4.900000000000e-02	1.795346906400e-06	5.822049036714e-12	2.326711237290e-18	4.071659670130e-25	6.114130963848e-32	1.087573935139e-38	2.457616393666e-45	1.348428195753e-51	1.056308776834e-57	1.731562053622e-63
5.000000000000e-02	2.070470846861e-06	6.992625179201e-12	2.875160729627e-18	5.132139065720e-25	7.812145800642e-32	1.402279501493e-38	3.186978973003e-45	1.754301190840e-51	1.376171858837e-57	2.255905161575e-63
5.100000000000e-02	2.386058187267e-06	8.393437618293e-12	3.551012952576e-18	6.465833373913e-25	9.977659939727e-32	1.807393904472e-38	4.131457671619e-45	2.281673971096e-51	1.792419387743e-57	2.938320901990e-63
5.200000000000e-02	2.747793609663e-06	1.006873036852e-11	4.383417858332e-18	8.142349652230e-25	1.273825126741e-31	2.328699628025e-38	5.354099327820e-45	2.966716962752e-51	2.333951185240e-57	3.826248917025e-63
5.300000000000e-02	3.162120068298e-06	1.207104257336e-11	5.408090824887e-18	1.024882634650e-24	1.625599958168e-31	2.999276931283e-38	6.936310834994e-45	3.856308221368e-51	3.038288989665e-57	4.981301438276e-63
5.400000000000e-02	3.636334045022e-06	1.446272335151e-11	6.668767377325e-18	1.289429696473e-24	2.073673141243e-31	3.861553831164e-38	8.983171201374e-45	5.011185259603e-51	3.954135674336e-57	6.483477913012e-63
5.500000000000e-02	4.178691945587e-06	1.731771558836e-11	8.218974784086e-18	1.621512677740e-24	2.644171870898e-31	4.969927489265e-38	1.163027042585e-44	6.510019293303e-51	5.144690218049e-57	8.436627155901e-63
5.600000000000e-02	4.798528829097e-06	2.072365498954e-11	1.012418833235e-17	2.038178311700e-24	3.370247646365e-31	6.394115021390e-38	1.505251110312e-44	8.454680289214e-51	6.691940448191e-57	1.097552456079e-62
5.700000000000e-02	5.506390776208e-06	2.478433842915e-11	1.246445432683e-17	2.560726231451e-24	4.293947224446e-31	8.223435096758e-38	1.947543228237e-44	1.097703882403e-50	8.702220458318e-57	1.427503967330e-62
5.800000000000e-02	6.314182324117e-06	2.962262458188e-11	1.533757902933e-17	3.215757355095e-24	5.468577177745e-31	1.057227683724e-37	2.518977352448e-44	1.424775070892e-50	1.131340334300e-56	1.856200863825e-62
5.900000000000e-02	7.235330528251e-06	3.538384021493e-11	1.886300345327e-17	4.036477536463e-24	6.961691018155e-31	1.358708264711e-37	3.257020006867e-44	1.848759897359e-50	1.470420794594e-56	2.413060582821e-62
6.000000000000e-02	8.284967352621e-06	4.223977755270e-11	2.318650885746e-17	5.064317848047e-24	8.858861203040e-31	1.745526073469e-37	4.209936996564e-44	2.398213332786e-50	1.910623770298e-56	3.136224110139e-62
6.100000000000e-02	9.480132243308e-06	5.039338206655e-11	2.848592779324e-17	6.350947422707e-24	1.126844023907e-30	2.241655633942e-37	5.439885684748e-44	3.110056013810e-50	2.481954941627e-56	4.075130879760e-62
6.200000000000e-02	1.083999690321e-05	6.008424617035e-11	3.497807166303e-17	7.960772748625e-24	1.432756770003e-30	2.877755452479e-37	7.026886796287e-44	4.032010975788e-50	3.223278154799e-56	5.293850130130e-62
6.300000000000e-02	1.238611446138e-05	7.159504295142e-11	4.292712915781e-17	9.974039474155e-24	1.820974598624e-30	3.693017003420e-37	9.073924209634e-44	5.225746004025e-50	4.184917033083e-56	6.875389895135e-62
6.400000000000e-02	1.414269541747e-05	8.525905561149e-11	5.265484210239e-17	1.249068010122e-23	2.313439045677e-30	4.737521150452e-37	1.171349090378e-43	6.770924722064e-50	5.432016689863e-56	8.927269166848e-62
6.500000000000e-02	1.613691294173e-05	1.014689831649e-10	6.455282787870e-17	1.563508461192e-23	2.937886338868e-30	6.075240141238e-37	1.511598834961e-43	8.770427654331e-50	7.048886448050e-56	1.158872176288e-61
6.600000000000e-02	1.839924032351e-05	1.206872316328e-10	7.909749277763e-17	1.956201253524e-23	3.729363133799e-30	7.787860608190e-37	1.950050054680e-43	1.135707914676e-49	9.144608327530e-56	1.504000743351e-61
6.700000000000e-02	2.096382358755e-05	1.434579330443e-10	9.686807080626e-17	2.446391599895e-23	4.732134848611e-30	9.979650288525e-37	2.514860945319e-43	1.470231187464e-49	1.186027827919e-55	1.951444366260e-61
6.800000000000e-02	2.386889253677e-05	1.704209726439e-10	1.185684305752e-16	3.058000610578e-23	6.002087267638e-30	1.278365109200e-36	3.242210445645e-43	1.902732369496e-49	1.537835296996e-55	2.531394934052e-61
6.900000000000e-02	2.715721373442e-05	2.023283485442e-10	1.450534223938e-16	3.820747219186e-23	7.609747633524e-30	1.636955704268e-36	4.178567590582e-43	2.461743947222e-49	1.993471110082e-55	3.282912044793e-61
7.000000000000e-02	3.087658920610e-05	2.400632384698e-10	1.773606927560e-16	4.771535843421e-23	9.644083412044e-30	2.095373172832e-36	5.383598570172e-43	3.184059302878e-49	2.583421342535e-55	4.256515278575e-61
7.100000000000e-02	3.508040492468e-05	2.846622061644e-10	2.167490789310e-16	5.956171886789e-23	1.221727688804e-29	2.681194154217e-36	6.933889453578e-43	4.117110409324e-49	3.347077094335e-55	5.517530651109e-61
7.200000000000e-02	3.982823343807e-05	3.373410465395e-10	2.647449182484e-16	7.431481503252e-23	1.547072371978e-29	3.429553492762e-36	8.927711849402e-43	5.322025809690e-49	4.335322043228e-55	7.150409607292e-61
7.300000000000e-02	4.518649531079e-05	3.995248449398e-10	3.231978718302e-16	9.267929615879e-23	1.958256601402e-29	4.385199252370e-36	1.149112165183e-42	6.877562343168e-49	5.613867884395e-55	9.264301827975e-61
7.400000000000e-02	5.122918437600e-05	4.728829133700e-10	3.943481792407e-16	1.155285173090e-22	2.477714846173e-29	5.605101926033e-36	1.478576117188e-42	8.885158758239e-49	7.267552660059e-55	1.200024407436e-60
7.500000000000e-02	5.803866213427e-05	5.593693667080e-10	4.809076385873e-16	1.439444150931e-22	3.133688342073e-29	7.161766054963e-36	1.901883708362e-42	1.147542939323e-48	9.405878455959e-55	1.554043142861e-60
7.600000000000e-02	6.570652698815e-05	6.612702165989e-10	5.861570576195e-16	1.792666843323e-22	3.961713230536e-29	9.147431775051e-36	2.445587671059e-42	1.481650578807e-48	1.217014389482e-54	2.012017121213e-60
7.700000000000e-02	7.433456436830e-05	7.812579918556e-10	7.140634590918e-16	2.231533955600e-22	5.006486215745e-29	1.167940344363e-35	3.143703083927e-42	1.912474889615e-48	1.574262823239e-54	2.604329205378e-60
7.800000000000e-02	8.403578418480e-05	9.224550440353e-10	8.694209643611e-16	2.776556786369e-22	6.324202517529e-29	1.490680515904e-35	4.039790212498e-42	2.467850148291e-48	2.035841399130e-54	3.370200191828e-60
7.900000000000e-02	9.493555242745e-05	1.088506867955e-09	1.058020042135e-15	3.453096916367e-22	7.985484438941e-29	1.901914205693e-35	5.189614650302e-42	3.183573825394e-48	2.632060206248e-54	4.360247334833e-60
8.000000000000e-02	1.071728241387e-04	1.283666962097e-09	1.286850717247e-15	4.292498204121e-22	1.007904819209e-28	2.425714601016e-35	6.664543637878e-42	4.105671163981e-48	3.401988744782e-54	5.639779962320e-60
8.100000000000e-02	1.209014853917e-04	1.512894976362e-09	1.564346414231e-15	5.333479419256e-22	1.271629313867e-28	3.092651013114e-35	8.555880846403e-42	5.293299850876e-48	4.395973860438e-54	7.293043494524e-60
