# LSST Y10 lens forecast; fisherA2Z fisher_flex._default_lens_sample
# Source: lsst_data_repo/fisherA2Z/src/fisherA2Z/data/nzdist.txt (dneff)
# 10 uniform photo-z bins: 0.2 to 1.2; sigma_z = 0.03 * (1 + z)
# Each BIN integrates to 1 over z_mid.
# Z_MID	BIN1	BIN2	BIN3	BIN4	BIN5	BIN6	BIN7	BIN8	BIN9	BIN10
2.250000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.884462480100e-290	1.061473228090e-226	4.110988607023e-177	4.800008008068e-138	3.976841489135e-107	1.374010766508e-82	4.308185802044e-63
2.350000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	6.032389680163e-256	1.552517961294e-201	1.726710784223e-158	2.934986148982e-124	6.094577525813e-97	4.258719152785e-75
2.450000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	5.789220020865e-287	1.557598081923e-227	2.416933294142e-180	1.165847684231e-142	1.921557362074e-112	3.804952082351e-88
2.550000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.382800680171e-320	4.151476505458e-255	1.316367497684e-203	2.492559625720e-162	4.306449697986e-129	3.072592726376e-102
2.650000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.939531886356e-284	2.789697160298e-228	2.868251841586e-183	6.860277471985e-147	2.242572125438e-117
2.750000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	5.529453124718e-315	2.300405479959e-254	1.776466366377e-205	7.768197561875e-166	1.479358585565e-133
2.850000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	7.381067042221e-282	5.921949248708e-229	6.252520439964e-186	8.820355888587e-151
2.950000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.215127108176e-311	1.062527933140e-253	3.577224988412e-207	4.753181258227e-169
3.050000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.026086596433e-279	1.454767764264e-229	2.315092023875e-188
3.150000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	5.333295611659e-307	4.205303648572e-253	1.019149173618e-208
3.250000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.640867157657e-278	4.055018779992e-230
3.350000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.262041320998e-303	1.458255417093e-252
3.450000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.739799187798e-276
3.550000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.392425285828e-300
3.650000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
3.750000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
3.850000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
3.950000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
